Code SIPeC,Etiquette SIPeC,Code Holland - 1,Code Holland - 2,Code Holland - 3
32209.05,Nutritionniste holistique,S,R,I
32209.06,Naturothérapeute,S,R,i
33100.01,Assistants/assistantes dentaires,C,R,S
33100.02,Auxiliaires dans les laboratoires dentaires,R,C,i
33101.00,Assistants/assistantes de laboratoires médicaux et préposés/préposées techniques reliés,R,C,I
33102.00,"Aides-infirmiers/aides-infirmières, aides-soignants/aides-soignantes et préposés/préposées aux bénéficiaires",S,C,R
33103.00,Assistants techniques/assistantes techniques en pharmacie et assistants/assistantes en pharmacie,C,R,
33109.01,Techniciens/techniciennes en audiométrie,S,I,R
33109.02,Technologues en orthopédie,S,R,C
33109.03,Aides en réadaptation,S,R,C
33109.04,Assistants/Assistantes en ophtalmologie,C,S,R
33109.05,Techniciens/techniciennes et assistants/assistantes de laboratoire d'optique et d'ophtalmologie,R,C,
33109.06,Techniciens/techniciennes en processus de stérilisation,R,C,
33109.07,Aides dans les cliniques de collecte de sang,C,S,R
33109.08,Préposés à la morgue,R,C,
40010.00,Gestionnaires de la fonction publique - élaboration de politiques et administration de programmes sociaux et de santé,E,C,I
40011.00,"Gestionnaires de la fonction publique - analyse économique, élaboration de politiques et administration de programmes",E,C,I
40012.00,Gestionnaires de la fonction publique - élaboration de politiques en matière d'éducation et administration de programmes,E,C,I
40019.00,Autres gestionnaires de la fonction publique,E,C,I
40020.01,Administrateurs/administratrices de faculté,E,C,S
40020.02,Registraires,E,C,s
40020.03,Administrateurs/administratrices d'autres types d'écoles de formation professionnelle,E,C,S
40021.01,Directeurs/directrices d'école,E,S,C
40021.02,Administrateurs/administratrices de programmes d'enseignement aux niveaux primaire et secondaire,E,S,C
40030.00,"Directeurs/directrices des services sociaux, communautaires et correctionnels",E,S,C
40040.00,Officiers/officières de direction des services de police et professions connexes des services de la protection du public,E,S,C
40041.00,Chefs et officiers supérieurs/officières supérieures des services d'incendie,E,R,S
40042.00,Officiers/officières de direction des Forces armées canadiennes,E,C,I
41100.00,Juges,E,C,I
41101.00,Avocats/avocates (partout au Canada) et notaires (au Québec),E,I,C
41200.00,Professeurs/professeures et chargés/chargées de cours au niveau universitaire,I,E,S
41201.01,Assistants/assistantes d'enseignement au niveau postsecondaire,C,I,s
41201.02,Assistants/assistantes de recherche au niveau postsecondaire,I,C,
41210.00,Enseignants/enseignantes au niveau collégial et autres instructeurs/instructrices en formation professionnelle,S,E,I
41220.00,Enseignants/enseignantes au niveau secondaire,S,E,I
41221.00,Enseignants/enseignantes aux niveaux primaire et préscolaire,S,E,C
41300.00,Travailleurs sociaux/travailleuses sociales,S,I,E
41301.00,Thérapeutes en counseling et thérapies spécialisées connexes,S,I,E
41302.00,Chefs religieux,S,E,C
41310.01,Enquêteurs/enquêteuses de police et autres professions d’enquête,E,I,C
41310.02,Coroners et médecins légistes,I,R,c
41311.00,Agents/agentes de probation et de libération conditionnelle,S,E,C
41320.00,Conseillers/conseillères en information scolaire,S,I,E
41321.00,Conseillers/conseillères en développement de carrière et conseillers/conseillères en orientation (sauf éducation),S,I,E
41400.01,Ergonomes,I,C,S
41400.02,Hygiénistes industriels/hygiénistes industrielles et hygiénistes du travail,I,C,E
41400.03,Agents/agentes de brevets,E,C,S
41400.04,Agents/agentes de programmes et de politiques de la science,I,E,C
41400.05,Agents/agentes de transfert de technologie,C,I,e
41401.00,"Économistes, recherchistes et analystes des politiques économiques",I,C,E
41402.00,Agents/agentes de développement économique et recherchistes et analystes en marketing,I,E,C
41403.01,Recherchistes en matière de politiques sociales,I,C,S
41403.02,Conseillers/conseillères en économie domestique,S,E,I
41403.03,Analystes de politiques du logement,I,E,C
41403.04,Consultants/consultantes en immigration et en citoyenneté,C,I,E
41403.05,Agents/agentes de projets d'aide et de développement internationaux,E,S,C
41403.06,Recherchistes pour des enquêtes sociales,I,C,e
41403.07,Planificateurs/planificatrices de services sociaux,I,C,e
