Code de profil SIPeC,Codes exclus,Appellation d'emploi
10020.01,10021,
10020.01,10022,
10020.01,10029,
10020.02,00012,
10020.02,10010,
10020.02,10021,
10020.02,10022,
10020.02,10029,
10020.03,00012,
10020.03,10010,
10020.03,10021,
10020.03,10022,
10020.03,10029,
10020.04,00012,
10020.04,10010,
10020.04,10021,
10020.04,10022,
10020.04,10029,
10021.01,00012,
10021.01,10029,
10021.02,00012,
10021.02,10029,
10022.01,00014,
10022.01,11202,
10022.01,12103,
10022.01,41402,
10022.01,60010,
10022.01,60020,
10022.01,62010,
10022.01,62100,
10022.01,64101,
10022.02,00014,
10022.02,11202,
10022.02,12103,
10022.02,41402,
10022.02,60010,
10022.02,60020,
10022.02,62010,
10022.02,62100,
10022.02,64101,
10022.03,00014,
10022.03,11202,
10022.03,12103,
10022.03,41402,
10022.03,60010,
10022.03,60020,
10022.03,62010,
10022.03,62100,
10022.03,64101,
10022.04,00014,
10022.04,11202,
10022.04,12103,
10022.04,41402,
10022.04,60010,
10022.04,60020,
10022.04,62010,
10022.04,62100,
10022.04,64101,
10029.00,00012,
10029.00,10020,
10029.00,10021,
10029.00,10022,
10029.00,20010,
10029.00,20011,
10029.00,20012,
10030.00,00012,
11100.01,10010,
11100.01,12200,
11100.01,41400,
11100.01,41401,
11100.01,41402,
11100.01,41403,
11100.01,41404,
11100.01,41405,
11100.01,41406,
11100.01,41407,
11100.01,41409,
11100.02,10010,
11100.02,12200,
11100.02,41400,
11100.02,41401,
11100.02,41402,
11100.02,41403,
11100.02,41404,
11100.02,41405,
11100.02,41406,
11100.02,41407,
11100.02,41409,
11101.01,11103,
11101.02,11103,
11102.00,10020,
11102.00,10021,
11102.00,10022,
11102.00,10029,
11102.00,11101,
11102.00,11103,
11102.00,11109,
11103.01,10020,
11103.01,11101,
11103.01,11109,
11103.02,10020,
11103.02,11101,
11103.02,11109,
11109.01,10020,
11109.01,10021,
11109.01,10022,
11109.01,10029,
11109.01,11101,
11109.01,11103,
11109.02,10020,
11109.02,10021,
11109.02,10022,
11109.02,10029,
11109.02,11101,
11109.02,11103,
11109.03,10020,
11109.03,10021,
11109.03,10022,
11109.03,10029,
11109.03,11101,
11109.03,11103,
11109.04,10020,
11109.04,10021,
11109.04,10022,
11109.04,10029,
11109.04,11101,
11109.04,11103,
11109.05,10020,
11109.05,10021,
11109.05,10022,
11109.05,10029,
11109.05,11101,
11109.05,11103,
11200.00,10011,
11200.00,11201,
11200.00,12101,
11200.00,14102,
11201.00,11100,
11201.00,11101,
11201.00,11109,
11201.00,12111,
11201.00,12112,
11201.00,21321,
11201.00,22231,
11201.00,41401,
11201.00,41402,
11202.00,12103,
11202.00,41402,
11202.00,51111,
12010.00,12011,
12010.00,12012,
12010.00,12013,
12010.00,72025,
12011.00,10010,
12011.00,11102,
12011.00,11109,
12011.00,62023,
12012.00,51100,
12012.00,52100,
12013.00,13201,
12013.00,72025,
12100.00,12103,
12100.00,13100,
12101.00,10011,
12101.00,11200,
12101.00,14102,
12102.00,10012,
12102.00,14403,
12102.00,62101,
12103.00,10022,
12103.00,11202,
12103.00,12100,
12103.00,13100,
12103.00,64101,
12104.01,11100,
12104.01,11109,
12104.01,40011,
12104.02,11100,
12104.02,40010,
12104.02,41403,
12110.01,13111,
12110.02,13112,
12111.00,12112,
12112.00,12111,
12112.00,52100,
12113.00,14110,
12113.00,14111,
12113.00,21210,
12200.00,11100,
12200.00,13102,
12200.00,14200,
12200.00,14201,
12202.00,10020,
12202.00,63100,
12203.01,11100,
