Code de profil professionnel SIPeC,Etiquette
51114.01,Traducteurs/traductrices et traducteurs-réviseurs/traductrices-réviseures
51114.02,Terminologues
51114.03,Interprètes
51114.04,Interprètes en langue des signes
51120.01,"Producteurs/productrices de films cinématographiques, d'émissions de télévision, de radio et de jeux vidéos"
51120.02,Réalisateurs/réalisatrices
51120.03,Chorégraphes
51120.04,Directeurs artistiques/directrices artistiques
51120.05,Monteurs/monteuses de films
51120.06,Producteurs/productrices de disques
51120.07,Directeurs/directrices de la photographie
51121.01,Chefs d'orchestre
51121.02,Compositeurs/compositrices
51121.03,Arrangeurs/arrangeuses
51122.01,Musiciens/musiciennes
51122.02,Chanteurs/chanteuses
51122.03,Professeurs/professeures de musique et de chant
52100.01,Techniciens/techniciennes dans les bibliothèques
52100.02,Techniciens/techniciennes dans les services d'archives publiques
52110.00,Cadreurs/cadreuses de films et cadreurs/cadreuses vidéo
52111.00,Techniciens/techniciennes en graphisme
52112.00,Techniciens/techniciennes en radiotélédiffusion
52113.00,Techniciens/techniciennes en enregistrement audio et vidéo
52114.00,Annonceurs/annonceuses et autres communicateurs/communicatrices
52119.01,Régisseurs/régisseures de plateau
52119.02,Chefs machinistes de plateau
52119.03,Chefs électriciens/chefs électriciennes de plateau et éclairagistes
52119.04,Coordonnateurs/coordonnatrices des cascades et truqueurs/truqueuses
52119.05,Maquilleurs/maquilleuses
52119.06,Costumiers/costumières
52119.07,Chefs d'atelier de décors et chefs accessoiristes
52120.01,Designers graphiques
52120.02,Illustrateurs/illustratrices
52121.00,Designers d'intérieur et décorateurs/décoratrices d'intérieur
53100.01,Techniciens/techniciennes en restauration et en conservation
53100.02,Encadreurs/encadreuses de tableaux
53100.03,Interprètes de musée
53100.04,"Adjoints/adjointes à la conservation, les agents/agentes des services de vulgarisation, les techniciens/techniciennes en muséologie et les catalogueurs/catalogueuses et registraires de musée"
53100.05,Taxidermistes
53110.00,Photographes
53111.01,Grutiers/grutières en cinéma et radiotélédiffusion
53111.02,Projectionnistes de cinéma
53111.03,Accessoiristes et constructeurs/constructrices de décors
53111.04,Assistants/assistantes au script
53111.05,Machinistes et monteurs-régleurs/monteuses-régleuses de plateau
53111.06,Habilleurs/habilleuses
53111.07,Assistants/assistants à la réalisation
53120.01,Danseurs/danseuses
53120.02,Professeurs/professeures de danse
53121.01,Acteurs/actrices et comédiens/comédiennes
53121.02,Professeurs/professeures d'art dramatique
53121.03,Artistes de cirque
53122.01,Peintres
53122.02,Sculpteurs/sculpteures
53122.03,Professeurs/professeures d'art
53123.01,Ensembliers/ensemblières de théâtre
53123.02,Dessinateurs/dessinatrices de mode
53123.03,Concepteurs/conceptrices d'expositions
53124.01,Artisans sculpteurs/artisanes sculpteures
53124.02,Souffleurs/souffleuses de verre
53124.03,Orfèvres
53124.04,Potiers/potières
53124.05,Artisans vitraillistes/artisanes vitraillistes
53124.06,Confectionneurs/confectionneuses d'instruments musicaux
53124.07,Tisserands/tisserandes
53124.08,Professeurs/professeures d'artisanat
53124.09,Décorateurs floraux/décoratrices florales
53125.00,Patronniers/patronnières de produits textiles et d'articles en cuir et en fourrure
53200.00,Athlètes
53201.01,Entraîneurs/entraîneuses
53201.02,Dépisteurs sportifs/dépisteuses sportives
53202.00,Arbitres et officiels/officielles de sports
54100.01,Animateurs/animatrices et responsables de programmes de sports et de loisirs
54100.02,Évaluateurs/évaluatrices de la condition physique
55109.01,Amuseurs publics/amuseuses publiques
55109.02,Magiciens/magiciennes et illusionnistes
55109.03,Mannequins et modèles
55109.04,Influenceurs
60010.00,Directeurs/directrices des ventes corporatives
