Code,Nom,Type de Structure,Categorie,Description
B02c01,Apprentissage actif,Descripteur,Attributs personnels,Chercher de manière proactive à comprendre les implications de nouvelles informations dans le milieu de travail actuel et en changement. Ce descripteur est mesuré par Importance sur une échelle de 1 à 5.
B02c02,Apprentissage continu,Descripteur,Attributs personnels,"Vouloir se perfectionner et améliorer ses compétences, habilités et connaissances de façon continue dans le but de s’adapter aux changements et pour travailler efficacement. Ce descripteur est mesuré par Importance sur une échelle de 1 à 5."
B03,Attributs axés sur les résultats,Sous-Categorie,Attributs personnels,Les caractéristiques personnelles liées aux conducteurs qui amènent les choses à leur terme.
B03a,Orientation vers la réalisation,Groupe de similitudes,Attributs personnels,
B03a01,Accomplissement,Descripteur,Attributs personnels,La qualité d'établir et de maintenir des objectifs et de déployer tous les efforts permettant de les atteindre avec succès. Ce descripteur est mesuré par Importance sur une échelle de 1 à 5.
B03a02,Initiative,Descripteur,Attributs personnels,"La qualité de prendre des responsabilités, de relever des défis, de proposer, d'organiser ou de faire quelque chose de soi-même sans être incité par les autres. Ce descripteur est mesuré par Importance sur une échelle de 1 à 5."
B03a03,Motivation,Descripteur,Attributs personnels,"La qualité d'être motivé par l'intérêt, le besoin, la raison ou la récompense pour réaliser quelque chose ou pour atteindre un ou plusieurs résultats fixés. Ce descripteur est mesuré par Importance sur une échelle de 1 à 5."
B03a04,Persévérance,Descripteur,Attributs personnels,"La qualité de fournir délibérément les efforts requis par une tâche ou une activité en dépit des difficultés, échecs ou obstacles. Ce descripteur est mesuré par Importance sur une échelle de 1 à 5."
B03a05,Prendre des risques,Descripteur,Attributs personnels,"La qualité d'être prêt à faire un choix risqué, tout en tenant compte des conséquences, dans l'espoir d'obtenir un résultat ou un avantage souhaité en retour. Ce descripteur est mesuré par Importance sur une échelle de 1 à 5."
B03a06,Être compétitif,Descripteur,Attributs personnels,La qualité d'être animé par le désir profond d'être aussi bon que les autres ou de les surpasser pour obtenir de bons résultats dans un contexte comparable. Ce descripteur est mesuré par Importance sur une échelle de 1 à 5.
B03a07,Autonomie,Descripteur,Attributs personnels,"La qualité d’établir ses propres méthodes de travail, d'exécuter ses tâches sous peu ou sans supervision et de se fier à soi-même pour exécuter les tâches requises. Ce descripteur est mesuré par Importance sur une échelle de 1 à 5."
B04,Conscience professionnelle,Sous-Categorie,Attributs personnels,Les caractéristiques personnelles en lien aux motivations liées au respect des engagements.
B04a,Le sens des responsabilités,Groupe de similitudes,Attributs personnels,
B04a01,Fiable,Descripteur,Attributs personnels,La qualité d’être une personne sur laquelle on peut se fier et qui respecte ses engagements. Ce descripteur est mesuré par Importance sur une échelle de 1 à 5.
B04a02,Intégrité,Descripteur,Attributs personnels,La qualité d’être honnête et respectueux de l’éthique et d'agir en toute authenticité. Ce descripteur est mesuré par Importance sur une échelle de 1 à 5.
B04a03,Être responsable,Descripteur,Attributs personnels,La qualité de prendre la responsabilité de ses propres actions et des actions de son groupe. Ce descripteur est mesuré par Importance sur une échelle de 1 à 5.
B05,Pensée dynamique,Sous-Categorie,Attributs personnels,Les caractéristiques personnelles liées aux bouillonnements d'idées et à une pensée critique.
B05a,Réflexion pratique,Groupe de similitudes,Attributs personnels,
B05a01,Avoir du jugement,Descripteur,Attributs personnels,La qualité de former une opinion conforme au bon sens en fonction de l’appréciation d’un événement ou d’un fait. Ce descripteur est mesuré par Importance sur une échelle de 1 à 5.
B05a02,Pensée analytique,Descripteur,Attributs personnels,La qualité d'analyser des informations et d’utiliser la logique pour aborder des questions et des problèmes. Ce descripteur est mesuré par Importance sur une échelle de 1 à 5.
B05a03,Souci du détail,Descripteur,Attributs personnels,La qualité d'être méticuleux et minutieux dans l’exécution des tâches. Ce descripteur est mesuré par Importance sur une échelle de 1 à 5.
B05b,Pensée non conventionnelle,Groupe de similitudes,Attributs personnels,
B05b01,Créativité,Descripteur,Attributs personnels,"La qualité de développer des idées hors du commun ou ingénieuses sur un sujet donné ou une situation particulière, ou de développer des solutions originales pour résoudre des problèmes. Ce descripteur est mesuré par Importance sur une échelle de 1 à 5."
B05b02,Esprit d’innovation,Descripteur,Attributs personnels,"La qualité d’adopter une autre façon de penser pour trouver de nouveaux produits ou services, d'apporter une amélioration ou d'élaborer une nouvelle approche. Ce descripteur est mesuré par Importance sur une échelle de 1 à 5."
B05b03,Esprit d’entrepreneuriat,Descripteur,Attributs personnels,La qualité d’identifier et saisir des opportunités et de passer de l’idée à la réalisation. Ce descripteur est mesuré par Importance sur une échelle de 1 à 5.
C,Intérêts,Catégorie,Intérêts,Préférences relatives au milieu de travail et aux résultats.
C01,Codes Holland,Sous-Categorie,Intérêts,"Les codes Holland, aussi connu sous l’abréviation RIASEC, font référence aux six types de personnalités d'intérêt de John L. Holland. Chacun d'entre eux est caractérisé par les activités, les préférences et les intérêts dominants les plus souvent attendus."
C01a,Intérêts - Codes Holland,Groupe de similitudes,Intérêts,
C01a01,Réaliste,Descripteur,Intérêts,"Les professions de type réaliste se caractérisent par la prédominance d'activités qui impliquent la manipulation explicite, ordonnée ou systématique d'objets, d'outils, de machines et d'animaux. La plupart de ces professions impliquent peu de tâches administratives ou de travail en étroite collaboration avec les autres."
C01a02,Investigateur,Descripteur,Intérêts,"Les professions de type investigateur se caractérisent par la prédominance d’activités qui impliquent l'observation et l'investigation systématique ou créative de phénomènes physiques, biologiques ou culturels. Ces professions exigent une réflexion approfondie et impliquent souvent de travailler avec des idées, de rechercher des faits et de résoudre mentalement des problèmes."
C01a03,Artistique,Descripteur,Intérêts,"Les professions de type artistique se caractérisent par la prédominance d’activités qui impliquent une expression artistique pour créer, composer ou produire des arts visuels, littéraires, appliqués ou du spectacle. Ces professions impliquent fréquemment de travailler avec des formes, des concepts et des modèles, et nécessitent souvent l'expression de soi ainsi que l'accomplissement d'un travail qui ne requiert pas de suivre un ensemble de règles claires."
C01a04,Social,Descripteur,Intérêts,"Les professions de type social se caractérisent par la prédominance d’activités qui impliquent une interaction directe avec les autres pour informer, instruire, aider, développer, guérir ou éclairer. Ces professions impliquent souvent d'aider ou de rendre service aux autres, d'enseigner, de travailler ou de communiquer avec les gens."
C01a05,Entreprenant,Descripteur,Intérêts,"Les professions de type entreprenant se caractérisent par la prédominance d'activités orientées vers l'action pour atteindre des objectifs organisationnels ou personnels. Ces professions impliquent fréquemment de démarrer et de réaliser des projets, d'influencer, de diriger ou de mobiliser des personnes, de prendre des décisions, et nécessitent parfois de prendre des risques et de gérer les affaires."
C01a06,Conventionnel,Descripteur,Intérêts,"Les professions de type conventionnel se caractérisent par la prédominance d'activités qui impliquent de suivre un ensemble de procédures et de routines. Ces activités peuvent inclure la manipulation systématique de données, comme la tenue de registres, le classement de documents, la reproduction de documents, l'organisation de données écrites et numériques selon un plan prédéterminé et l'exploitation d’entreprises et le traitement de données. Ces professions nécessitent souvent de suivre une ligne d'autorité claire et impliquent généralement de travailler avec des données et des détails plutôt qu'avec des idées."
F,Compétences,Catégorie,Compétences,"Capacités développées qu'un individu doit avoir pour effectuer efficacement son travail, son rôle, ses fonctions ou ses tâches."
F01,Compétences fondamentales,Sous-Categorie,Compétences,Capacités développées qui facilitent l’acquisition plus rapide d’autres compétences et connaissances.
F01a,Compétences verbales,Groupe de similitudes,Compétences,
F01a01,Communication verbale : écoute active,Descripteur,Compétences,"La capacité d’écouter attentivement ce que les autres disent, de prendre le temps de comprendre les idées présentées, de poser des questions au besoin et d'éviter d’interrompre, de façon inappropriée, la personne qui parle. Ce descripteur est mesuré par niveau de compétence sur une échelle de 1 à 5."
F01a02,Communication verbale : compréhension orale,Descripteur,Compétences,La capacité d’écouter et de comprendre des informations et des idées présentées par des mots et des phrases. Ce descripteur est mesuré par niveau de compétence sur une échelle de 1 à 5.
F01a03,Communication verbale : expression orale,Descripteur,Compétences,La capacité de parler aux autres pour transmettre de l’information efficacement. Ce descripteur est mesuré par niveau de compétence sur une échelle de 1 à 5.
F01b,Compétences en lecture et en écriture,Groupe de similitudes,Compétences,
F01b01,Compréhension de lecture,Descripteur,Compétences,"La capacité de comprendre des informations écrites présentées sous forme de mots, de phrases, de paragraphes, de symboles et d'images dans des documents liés au travail. Ce descripteur est mesuré par niveau de compétence sur une échelle de 1 à 5."
F01b02,Rédaction,Descripteur,Compétences,"La capacité de communiquer par écrit en utilisant des mots, des phrases, des paragraphes, des symboles et des images adaptés aux besoins du public. Ce descripteur est mesuré par niveau de compétence sur une échelle de 1 à 5."
F01c,Compétences mathématiques,Groupe de similitudes,Compétences,
F01c01,Numératie,Descripteur,Compétences,"La capacité de comprendre, d'utiliser et de communiquer des chiffres et d'autres informations mathématiques présentées sous forme de mots, de chiffres, de symboles et de graphiques. Ce descripteur est mesuré par niveau de compétence sur une échelle de 1 à 5."
F01c02,Littératie numérique,Descripteur,Compétences,"La capacité de comprendre et d'utiliser des dispositifs et des outils numériques pour obtenir, échanger, créer ou traiter des informations numériques de manière sécurisée. Ce descripteur est mesuré par niveau de compétence sur une échelle de 1 à 5."
F02,Compétences analytiques,Sous-Categorie,Compétences,Capacités développées dont une personne a besoin pour traiter de l’information et des données de façon logique en vue d’obtenir des résultats utilisables.
F02a,Compétences en matière d'analyse des processus,Groupe de similitudes,Compétences,
F02a01,Pensée critique,Descripteur,Compétences,"La capacité d'utiliser la logique et le raisonnement pour questionner, interpréter et analyser divers types d'informations afin de former une conclusion ou un jugement fondé sur des preuves. Ce descripteur est mesuré par niveau de compétence sur une échelle de 1 à 5."
