OaSIS profile code,Employment requirement
14403.02,Courses in production and inventory management and ability to operate a computerized inventory system may be required for inventory control workers.
14404.00,Completion of secondary school is required.
14404.00,Police and emergency dispatchers and other radio operators usually require provincial radio operator's certificates.
14404.00,Police and emergency dispatchers are required to complete formal on-the-job training. Other dispatchers usually undergo some informal on-the-job training.
14405.00,Completion of secondary school is required.
14405.00,Several years of experience in an appropriate transportation sector are usually required.
14405.00,On-the-job training may be provided.
20010.00,A bachelor's degree in engineering is usually required.
20010.00,"Extensive experience in an engineering discipline, including supervisory experience, is required."
20010.00,Registration as a Professional Engineer (P. Eng.) by a provincial or territorial association of professional engineers is usually required.
20011.01,"Architecture managers require a degree in architecture, registration as a professional architect and several years of experience as an architect."
20011.01,"Landscape architecture managers require a degree in landscape architecture, licensing as a professional landscape architect and several years of experience as a landscape architect."
20011.02,Science and other managers in this unit group require a master's or doctoral degree in a scientific discipline and several years of experience in a related scientific discipline.
20012.00,"A bachelor's or master's degree in computer science, business administration, commerce or engineering is usually required."
20012.00,"Several years of experience in systems analysis, data administration, software engineering, network design or computer programming, including supervisory experience, are required."
21100.01,"Physicists usually require a master's or doctoral degree in a field of physics, engineering physics, or in a related discipline."
21100.02,Astronomers usually require a master's or doctoral degree in astronomy or in a related discipline.
21101.00,"A bachelor's degree in chemistry, biochemistry or a related discipline is required."
21101.00,A master's or doctoral degree is usually required for employment as a research chemist.
21101.00,"Licensing by a provincial association of chemists is required in Quebec and available but voluntary, in Nova Scotia, Ontario, Saskatchewan, Alberta and British Columbia."
21102.01,"Geoscientists require a university degree in geology, geochemistry, geophysics or a related discipline."
21102.01,"A master's or doctoral degree in geophysics, physics, mathematics or engineering may be required for employment as a geophysicist."
21102.01,"Registration with a provincial or territorial association of professional engineers, geologists, geophysicists or geoscientists is usually required for employment and is mandatory to practice in all provinces and territories except Prince Edward Island and the Yukon."
21102.01,"Geologists and geophysicists are eligible for registration following graduation from an accredited educational program and after several years of supervised work experience and, in some provinces, after passing a professional practice examination."
21102.02,"Oceanographers require a university degree in science, mathematics, statistics or engineering and usually require a graduate degree in oceanography."
21103.00,"A bachelor's or master's degree in meteorology, atmospheric sciences or in a related field is required."
21103.00,A doctoral degree is usually required for employment as a research scientist in meteorology.
21103.00,Formal training is provided by Environment Canada for operational meteorologists employed by the federal government.
21103.00,"Membership in the Canadian Meteorological and Oceanographic Society is available, but voluntary, for qualified meteorologists."
21109.01,"A bachelor's degree in metallurgy, physics, chemistry, or a related physical science discipline is required."
21109.02,A master's or doctoral degree is usually required for employment as a research scientist.
21109.03,A master's or doctoral degree is usually required for employment as a research scientist.
21109.04,"Advanced degrees in a broad range of applied science areas, such as engineering or medicineorlicences may be required for some occupations in this unit group."
21110.01,A bachelor's degree in biology or in a related discipline is required for biologists.
21110.01,A master's or doctoral degree in biology or a related discipline is required for employment as a research scientist in biology.
21110.01,Post-doctoral research experience is usually required before employment in academic departments or research institutions.
21110.01,Biologists are regulated in Alberta and British Columbia.
21110.02,A bachelor's degree in biology or in a related discipline is required for biologists.
21110.02,A master's or doctoral degree in biology or a related discipline is required for employment as a research scientist in biology.
21110.02,Post-doctoral research experience is usually required before employment in academic departments or research institutions.
21110.02,Biologists are regulated in Alberta and British Columbia.
21111.00,A bachelor's degree in forestry or forestry engineering is required.
21111.00,Registration with a regulatory body is required in all provinces except Prince Edward Island and Manitoba.
21111.00,A two-year practicum of supervised work experience and professional examinations are usually required before registration.
21112.00,A bachelor's or master's degree in agriculture or in a related science is required.
21112.00,Membership or eligibility for membership in a provincial institute of agrology is usually required.
21112.00,"In Quebec, membership in the Ordre professionnel des agronomes is mandatory."
21120.00,"A bachelor's degree in a discipline such as food science, environmental studies, chemistry or health and safety is usually required."
21120.00,Public health inspectors employed outside Quebec require certification with the Canadian Institute of Public Health Inspectors.
21120.00,Environmental health and safety professionals may require certification with the Board of Canadian Registered Safety Professionals (BCRSP).
21200.00,A bachelor's degree from an accredited school of architecture orcompletion of the syllabus of studies from the Royal Architectural Institute of Canada (RAIC) is required.
21200.00,A master's degree in architecture may be required.
21200.00,Completion of a three-year internship under the supervision of a registered architect is required.
21200.00,Completion of the architect registration examination is required.
21200.00,Registration with a provincial regulatory body is required in all provinces and the Northwest Territories.
21200.00,Leadership in Energy and Environmental Design (LEED) certification is offered by the Canada Green Building Council and may be required by some employers.
21201.00,A bachelor's degree in landscape architecture is required.
21201.00,A master's degree in landscape architecture may be required.
21201.00,"Registration with a regulatory body is required in Ontario, Alberta and British Columbia."
21201.00,"In the remaining provinces and territories, landscape architects usually require two years of landscape design experience and an interview by their respective provincial associations to receive association certification."
21201.00,Leadership in Energy and Environmental Design (LEED) certification is offered by the Canada Green Building Council and may be required by some employers.
21202.00,"A bachelor's degree in urban and regional planning, geography, architecture, engineering or a related discipline is required."
