Code de profil professionnel SIPeC,Lieux de travail/employeurs,Nom du profil professionnel SIPeC
21102.01,Travailleurs autonomes,Géoscientifiques
21102.02,Établissements d'enseignement,Océanographes
21102.02,Gouvernements,Océanographes
21102.02,Sociétés d'exploration des zones d'élevage marin,Océanographes
21102.02,Entreprises d'exploration de gisements sur le plancher océanique et de zones de mariculture,Océanographes
21102.02,Travailleurs autonomes,Océanographes
21103.00,Tous les ordres de gouvernement,Météorologues et climatologues
21103.00,Sociétés d'experts-conseils et médias,Météorologues et climatologues
21103.00,Entreprises de ressources naturelles,Météorologues et climatologues
21103.00,Travailleurs autonomes,Météorologues et climatologues
21109.01,Établissements d'enseignement,Métallurgistes
21109.01,Fonction publique,Métallurgistes
21109.01,Établissements industriels,Métallurgistes
21109.02,Établissements d'enseignement,Spécialistes des matériaux
21109.02,Gouvernements,Spécialistes des matériaux
21109.02,Établissements industriels,Spécialistes des matériaux
21109.03,Établissements d'enseignement,Scientifiques en science du sol
21109.03,Gouvernements,Scientifiques en science du sol
21109.03,Établissements industriels,Scientifiques en science du sol
21109.04,Établissements d'enseignement,Astronautes
21109.04,Gouvernements,Astronautes
21110.01,Entreprises chimiques,Biologistes
21110.01,Firmes d'experts-conseils en environnement,Biologistes
21110.01,Gouvernements,Biologistes
21110.01,Institutions de santé et d'éducation,Biologistes
21110.01,Compagnies pharmaceutiques et biotechniques,Biologistes
21110.01,Sociétés exploitantes de ressources et de services d'utilité publique,Biologistes
21110.02,Entreprises chimiques,Microbiologistes et biologistes cellulaires et moléculaires
21110.02,Firmes d'experts-conseils en environnement,Microbiologistes et biologistes cellulaires et moléculaires
21110.02,Gouvernements,Microbiologistes et biologistes cellulaires et moléculaires
21110.02,Institutions de santé et d'éducation,Microbiologistes et biologistes cellulaires et moléculaires
21110.02,Compagnies pharmaceutiques et biotechniques,Microbiologistes et biologistes cellulaires et moléculaires
21110.02,Entreprise de ressources et de services d'utilité publique,Microbiologistes et biologistes cellulaires et moléculaires
21111.00,Cabinets d'experts-conseils,Professionnels/professionnelles des sciences forestières
21111.00,Établissements d'enseignement,Professionnels/professionnelles des sciences forestières
21111.00,Gouvernement fédéral,Professionnels/professionnelles des sciences forestières
21111.00,Industrie forestière,Professionnels/professionnelles des sciences forestières
21111.00,Industries liées à la foresterie,Professionnels/professionnelles des sciences forestières
21111.00,Gouvernements provinciaux,Professionnels/professionnelles des sciences forestières
21111.00,Travailleurs autonomes,Professionnels/professionnelles des sciences forestières
21112.00,"Entreprises, institutions et organismes gouvernementaux qui aident la communauté agricole","Agronomes, conseillers/conseillères et spécialistes en agriculture"
21112.00,Travailleurs autonomes,"Agronomes, conseillers/conseillères et spécialistes en agriculture"
21120.00,Établissements des secteurs privé et public,Professionnels/professionnelles de la santé et sécurité publique et environnementale
21200.00,Cabinets d'architectes,Architectes
21200.00,Gouvernements,Architectes
21200.00,Corporations privées,Architectes
21200.00,Travailleurs autonomes,Architectes
21201.00,Cabinets d'architectes et d'ingénieurs,Architectes paysagistes
21201.00,Organismes environnementaux et de développement du gouvernement,Architectes paysagistes
21201.00,Firmes de consultants en aménagement paysager,Architectes paysagistes
21201.00,Travailleurs autonomes,Architectes paysagistes
21202.00,Tous les ordres de gouvernement,Urbanistes et planificateurs/planificatrices de l'utilisation des sols
21202.00,Firmes d'ingénieurs ou des sociétés de consultants,Urbanistes et planificateurs/planificatrices de l'utilisation des sols
21202.00,Lotisseurs,Urbanistes et planificateurs/planificatrices de l'utilisation des sols
21202.00,Consultants privés,Urbanistes et planificateurs/planificatrices de l'utilisation des sols
21203.00,Tous les ordres de gouvernement,Arpenteurs-géomètres/arpenteuses-géomètres
21203.00,Entreprises de génie ou de construction,Arpenteurs-géomètres/arpenteuses-géomètres
21203.00,Entreprises de ressources naturelles,Arpenteurs-géomètres/arpenteuses-géomètres
21203.00,Bureaux d'experts en arpentage du secteur privé,Arpenteurs-géomètres/arpenteuses-géomètres
21203.00,Entreprises de développement immobilier,Arpenteurs-géomètres/arpenteuses-géomètres
21203.00,Travailleurs autonomes,Arpenteurs-géomètres/arpenteuses-géomètres
21210.01,Banques et sociétés de fiducie,Mathématiciens/mathématiciennes
21210.01,Gouvernements,Mathématiciens/mathématiciennes
21210.01,Compagnies d'assurance,Mathématiciens/mathématiciennes
21210.01,Firmes d'experts-conseils en prestations de retraite,Mathématiciens/mathématiciennes
21210.01,Associations professionnelles,Mathématiciens/mathématiciennes
21210.01,Firmes d'experts-conseils en sciences et en génie,Mathématiciens/mathématiciennes
21210.01,Universités,Mathématiciens/mathématiciennes
21210.02,Banques et sociétés de fiducie,Statisticiens/statisticiennes
21210.02,Gouvernements,Statisticiens/statisticiennes
21210.02,Compagnies d'assurance,Statisticiens/statisticiennes
21210.02,Firmes d'experts-conseils en prestations de retraite,Statisticiens/statisticiennes
21210.02,Associations professionnelles,Statisticiens/statisticiennes
21210.02,Firmes d'experts-conseils en sciences et en génie,Statisticiens/statisticiennes
21210.02,Universités,Statisticiens/statisticiennes
21210.03,Banques et sociétés de fiducie,Actuaires
21210.03,Gouvernements,Actuaires
21210.03,Compagnies d'assurance,Actuaires
21210.03,Firmes d'experts-conseils en prestations de retraite,Actuaires
21210.03,Associations professionnelles,Actuaires
21210.03,Firmes d'experts-conseils en sciences et en génie,Actuaires
21210.03,Travailleurs autonomes,Actuaires
21210.03,Universités,Actuaires
21211.00,Banques,Scientifiques de données
21211.00,Cabinets d'experts-conseils,Scientifiques de données
21211.00,Services informatiques des secteurs privé et public,Scientifiques de données
21211.00,Universités,Scientifiques de données
21220.00,Firmes d'experts-conseils en technologies de l'information,Spécialistes de la cybersécurité
21220.00,Services informatiques des secteurs privé et public,Spécialistes de la cybersécurité
21220.00,Travailleurs autonomes,Spécialistes de la cybersécurité
21221.00,Firmes d'experts-conseils en technologies de l'information,Spécialistes des systèmes commerciaux
21221.00,Services informatiques des secteurs privé et public,Spécialistes des systèmes commerciaux
21222.00,Firmes d'experts-conseils en technologies de l'information,Spécialistes en informatique
21222.00,Services informatiques des secteurs privé et public,Spécialistes en informatique
21222.00,Travailleurs autonomes,Spécialistes en informatique
21223.01,Firmes d'experts-conseils en technologies de l'information,Analystes de bases de données
21223.01,Services informatiques des secteurs privé et public,Analystes de bases de données
21223.02,Firmes d'experts-conseils en technologies de l'information,Administrateurs/administratrices de données
21223.02,Services informatiques des secteurs privé et public,Administrateurs/administratrices de données
21230.00,Sociétés de développement de logiciels pour ordinateurs,Développeurs/développeuses et programmeurs/programmeuses de systèmes informatiques
21230.00,Firmes d'experts-conseils en technologies de l'information,Développeurs/développeuses et programmeurs/programmeuses de systèmes informatiques
21230.00,Services informatiques des secteurs privé et public,Développeurs/développeuses et programmeurs/programmeuses de systèmes informatiques
21230.00,Travailleurs autonomes,Développeurs/développeuses et programmeurs/programmeuses de systèmes informatiques
21231.00,Firmes d'experts-conseils en technologies de l'information,Ingénieurs/ingénieures et concepteurs/conceptrices en logiciel
21231.00,Services informatiques des secteurs privé et public,Ingénieurs/ingénieures et concepteurs/conceptrices en logiciel
21231.00,Firmes de recherche et développement en technologies de l'information,Ingénieurs/ingénieures et concepteurs/conceptrices en logiciel
21231.00,Travailleurs autonomes,Ingénieurs/ingénieures et concepteurs/conceptrices en logiciel
21232.00,Sociétés de développement de logiciels pour ordinateurs,Développeurs/développeuses et programmeurs/programmeuses de logiciels
21232.00,Firmes d'experts-conseils en technologies de l'information,Développeurs/développeuses et programmeurs/programmeuses de logiciels
21232.00,Services informatiques des secteurs privé et public,Développeurs/développeuses et programmeurs/programmeuses de logiciels
21232.00,Travailleurs autonomes,Développeurs/développeuses et programmeurs/programmeuses de logiciels
21233.00,Agences de publicité,Concepteurs/conceptrices Web
21233.00,Sociétés de développement de logiciels pour ordinateurs,Concepteurs/conceptrices Web
21233.00,Firmes d'experts-conseils en technologies de l'information,Concepteurs/conceptrices Web
21233.00,Services informatiques des secteurs privé et public,Concepteurs/conceptrices Web
21233.00,Travailleurs autonomes,Concepteurs/conceptrices Web
21234.00,Agences de publicité,Développeurs/développeuses et programmeurs/programmeuses Web
21234.00,Sociétés de développement de logiciels pour ordinateurs,Développeurs/développeuses et programmeurs/programmeuses Web
21234.00,Firmes d'experts-conseils en technologies de l'information,Développeurs/développeuses et programmeurs/programmeuses Web
21234.00,Services informatiques des secteurs privé et public,Développeurs/développeuses et programmeurs/programmeuses Web
21234.00,Travailleurs autonomes,Développeurs/développeuses et programmeurs/programmeuses Web
21300.00,Tous les ordres de gouvernement,Ingénieurs civils/ingénieures civiles
