Code de profil professionnel SIPeC,Lieux de travail/employeurs,Nom du profil professionnel SIPeC
14401.00,Établissements de commerce de détail,Magasiniers/magasinières et commis aux pièces
14401.00,Entrepôts,Magasiniers/magasinières et commis aux pièces
14401.00,Établissements de vente en gros,Magasiniers/magasinières et commis aux pièces
14402.00,Compagnies de construction,Travailleurs/travailleuses de la logistique de la production
14402.00,Établissements industriels,Travailleurs/travailleuses de la logistique de la production
14402.00,Entreprises de fabrication,Travailleurs/travailleuses de la logistique de la production
14402.00,Imprimeries,Travailleurs/travailleuses de la logistique de la production
14402.00,Maisons d'édition,Travailleurs/travailleuses de la logistique de la production
14403.01,Agences gouvernementales,Commis aux achats
14403.01,Entreprises de fabrication,Commis aux achats
14403.01,Établissements de vente au détail,Commis aux achats
14403.01,Établissements de commerce en gros,Commis aux achats
14403.02,Agences gouvernementales,Commis au contrôle de l'inventaire
14403.02,Entreprises de fabrication,Commis au contrôle de l'inventaire
14403.02,Établissements de commerce de détail,Commis au contrôle de l'inventaire
14403.02,Établissements de commerce en gros,Commis au contrôle de l'inventaire
14404.00,Établissements de ventes commerciales et industrielles,Répartiteurs/répartitrices
14404.00,Agences de services d'urgence,Répartiteurs/répartitrices
14404.00,"Services de police, d'incendie et de santé publique",Répartiteurs/répartitrices
14404.00,"Services de taxi, de livraison et de messageries",Répartiteurs/répartitrices
14404.00,Entreprises de camionnage,Répartiteurs/répartitrices
14404.00,Services d'utilité publique,Répartiteurs/répartitrices
14405.00,Lignes aériennes,Horairistes de trajets et d'équipages
14405.00,Systèmes de transport en commun,Horairistes de trajets et d'équipages
14405.00,Compagnies de chemin de fer,Horairistes de trajets et d'équipages
14405.00,Entreprises de transport des secteurs privé et public,Horairistes de trajets et d'équipages
14405.00,"Entreprises de camionnage, de livraison et de messagerie",Horairistes de trajets et d'équipages
20010.00,Sociétés d'ingénieurs-conseils,Directeurs/directrices des services de génie
20010.00,Établissements des secteurs privé et public,Directeurs/directrices des services de génie
20010.00,Entreprises de recherche scientifique,Directeurs/directrices des services de génie
20011.01,Cabinets d'architectes,Directeurs/directrices des services d’architecture et d’urbanisme
20011.01,Établissements des secteurs privé et public,Directeurs/directrices des services d’architecture et d’urbanisme
20011.01,Entreprises de recherche scientifique,Directeurs/directrices des services d’architecture et d’urbanisme
20011.02,Cabinets d'architectes,Directeurs/directrices de service des sciences
20011.02,Établissements des secteurs privé et public,Directeurs/directrices de service des sciences
20011.02,Entreprises de recherche scientifique,Directeurs/directrices de service des sciences
20012.00,Établissements des secteurs privé et public,Gestionnaires des systèmes informatiques
21100.01,"Entreprises de fabrication de matériel électronique, électrique et aérospatial",Physiciens/physiciennes
21100.01,Centres hospitaliers,Physiciens/physiciennes
21100.01,Services hydro-électriques,Physiciens/physiciennes
21100.01,"Entreprises de consultation, de recherche, de traitement et de fabrication",Physiciens/physiciennes
21100.01,Entreprises de télécommunication,Physiciens/physiciennes
21100.01,Laboratoires universitaires et gouvernementaux de recherche,Physiciens/physiciennes
21100.02,Gouvernements,Astronomes
21100.02,Universités,Astronomes
21101.00,Industries chimiques,Chimistes
21101.00,Laboratoires de développement,Chimistes
21101.00,Établissements d'enseignement,Chimistes
21101.00,Organismes gouvernementaux,Chimistes
21101.00,Institutions de santé et autres institutions,Chimistes
21101.00,Entreprises de fabrication,Chimistes
21101.00,Industries de la métallurgie,Chimistes
21101.00,Industries de l'extraction minière,Chimistes
21101.00,Compagnies pétrochimiques,Chimistes
21101.00,Entreprises de pâtes et papiers,Chimistes
21101.00,Laboratoires de contrôle de la qualité,Chimistes
21101.00,Laboratoires de recherche,Chimistes
21101.00,Services d'utilité publique,Chimistes
21102.01,Firmes d'ingénieurs-conseils et d'experts-conseils en géologie et en géophysique,Géoscientifiques
21102.01,Établissements d'enseignement,Géoscientifiques
21102.01,Gouvernements,Géoscientifiques
21102.01,Sociétés minières et pétrolières,Géoscientifiques
